new double[] { 0.04, 0.02, 1.02, 0.18, 0.73, -0.73, 14.06, -4.39, 25.78, 47 },
new double[] { 0.04, 0.02, 1.02, 0.31, 0.37, -0.67, 15.09, -3.08, 25.63, 46 },
new double[] { 0.04, 0.01, 1.02, 0.31, 0.49, -0.73, 14.06, -2.93, 26.66, 51 },
new double[] { 0.04, 0.01, 1.02, 0.24, 0.55, -0.61, 14.06, -3.52, 25.2, 47 },
new double[] { 0.03, 0.01, 1.01, 0.31, 0.37, -0.73, 14.5, -3.08, 26.81, 47 },
new double[] { 0.04, 0.02, 1.01, 0.18, 0.61, -0.85, 14.06, -3.52, 25.78, 46 },
new double[] { 0.04, 0.02, 1.02, 0.12, 0.85, -0.79, 13.92, -2.78, 25.63, 51 },
new double[] { 0.03, 0.01, 1.02, -0.06, 0.55, -0.73, 14.21, -4.83, 26.51, 49 },
new double[] { 0.03, 0.02, 1.02, 0.18, 0.55, -0.92, 14.21, -3.96, 25.93, 47 },
new double[] { 0.04, 0.02, 1.02, 0.43, 0.61, -0.61, 14.65, -2.93, 25.2, 52 },
new double[] { 0.04, 0.02, 1.02, 0.31, 0.37, -0.67, 13.04, -3.08, 26.22, 50 },
new double[] { 0.04, 0.01, 1.01, 0.37, 0.37, -0.92, 13.33, -3.66, 26.22, 46 },
new double[] { 0.04, 0.02, 1.02, 0.31, 0.43, -0.73, 14.36, -3.22, 26.66, 46 },
new double[] { 0.04, 0.01, 1.01, 0.18, 0.43, -0.73, 14.06, -3.52, 25.49, 46 },
new double[] { 0.03, 0.01, 1.02, 0.37, 0.55, -0.55, 14.36, -2.93, 25.49, 47 },
new double[] { 0.04, 0.01, 1.02, 0.31, 0.43, -0.67, 14.94, -2.05, 25.2, 50 },
new double[] { 0.04, 0.01, 1.02, 0.12, 0.61, -0.73, 14.06, -3.22, 25.49, 54 },
new double[] { 0.04, 0.01, 1.01, 0.31, 0.73, -0.73, 15.09, -3.08, 25.93, 47 },
new double[] { 0.04, 0.01, 1.02, 0.18, 0.43, -0.98, 14.79, -1.61, 25.34, 49 },
new double[] { 0.04, 0.01, 1.01, 0, 0.43, -0.73, 14.65, -2.64, 26.37, 47 },
new double[] { 0.04, 0.02, 1.02, 0.12, 0.49, -0.55, 14.65, -3.22, 25.78, 46 },
new double[] { 0.03, 0.01, 1.02, 0.18, 0.43, -0.85, 14.06, -3.22, 24.9, 48 },
new double[] { 0.04, 0.02, 1.02, 0.18, 0.43, -1.04, 15.09, -3.66, 25.63, 52 },
new double[] { 0.04, 0.01, 1.01, 0.24, 0.49, -0.79, 14.79, -2.49, 27.1, 47 },
new double[] { 0.03, 0.01, 1.02, 0.73, 0.24, -0.85, 12.89, -3.52, 25.2, 53 },
new double[] { 0.04, 0.01, 1.01, 0.24, 0.31, -0.92, 13.62, -3.37, 26.22, 51 },
new double[] { 0.03, 0.01, 1.03, 0.12, -0.12, -0.79, 14.06, -2.34, 25.49, 43 },
new double[] { 0.03, 0, 1.01, 0.73, -1.95, -18.55, 14.5, -3.08, 26.51, 49 },
